abend|abend
abenteuer|abenteu
abfall|abfall
abgeben|abgeb
abholen|abhol
abschied|abschied
absicht|absicht
abteilung|abteil
achten|acht
achtung|achtung
ähnlich|ahnlich
aktuell|aktull
allgemein|allgemein
alltag|alltag
alt|alt
alte|alt
älter|alt
älteste|alt
anbieten|anbiet
ander|<STOP>
ändern|and
anfang|anfang
anfange|anfang
anfangen|anfang
anfängt|anfangt
anfing|anfing
angebot|angebot
angefangen|angefang
angehören|angehor
angenehm|angenehm
angst|angst
anlage|anlag
anmelden|anmeld
annehmen|annehm
anruf|anruf
anschauen|anschau
ansehen|anseh
ansicht|ansicht
anspruch|anspruch
anstatt|anstatt
antrag|antrag
antwort|antwort
antworten|antwort
anwenden|anwend
anzahl|anzahl
anziehen|anzieh
apfel|apfel
arbeit|arbeit
arbeite|arbeit
arbeiten|arbeit
arbeitend|arbeit
arbeiter|arbeit
arbeiterin|arbeit
arbeitest|arbeit
arbeitet|arbeitet
arbeitete|arbeitet
arbeiteten|arbeitet
arbeitgeber|arbeitgeb
arbeitnehmer|arbeitnehm
arbeitslos|arbeitslos
ärger|arg
ärgern|arg
arm|arm
art|art
arzt|arzt
ärztin|arztin
ärztinnen|arztinn
aß|ass
aßen|ass
atmen|atm
aufbau|aufbau
aufgabe|aufgab
aufhören|aufhor
aufmerksam|aufmerksam
aufnahme|aufnahm
aufpassen|aufpass
aufstehen|aufsteh
auftrag|auftrag
aufwachen|aufwach
auge|aug
augen|aug
ausbildung|ausbild
ausdruck|ausdruck
ausflug|ausflug
ausgabe|ausgab
ausgang|ausgang
auskunft|auskunft
ausland|ausland
ausnahme|ausnahm
aussage|aussag
aussehen|ausseh
aussicht|aussicht
aussprache|aussprach
ausstellung|ausstell
auswahl|auswahl
auto|auto
bäcker|back
bäckerin|back
bad|bad
bahn|bahn
bahnhof|bahnhof
bald|bald
bank|bank
bar|bar
bauen|bau
bauer|bau
baum|baum
beamte|beamt
beantworten|beantwort
bedeuten|bedeut
bedeutung|bedeut
bedienen|bedi
bedingung|beding
beeinflussen|beeinfluss
befehl|befehl
befinden|befind
begann|begann
begegnen|begegn
beginne|beginn
beginnen|beginn
beginnt|beginnt
begleiten|begleit
begonnen|begonn
begriff|begriff
behalten|behalt
behandeln|behandel
behörde|behord
beispiel|beispiel
bekannt|bekannt
bekommen|bekomm
belegen|beleg
beleidigen|beleid
bemerken|bemerk
bemühen|bemuh
benutzen|benutz
beobachte|beobacht
beobachten|beobacht
beobachtet|beobachtet
beobachtete|beobachtet
beobachtung|beobacht
bequem|bequ
bereich|bereich
bereit|bereit
bereits|bereit
berg|berg
berge|berg
bericht|bericht
berichten|bericht
beruf|beruf
beruhigen|beruh
berühmt|beruhmt
beschäftigen|beschaft
bescheid|bescheid
beschließen|beschliess
beschreiben|beschreib
beschwerde|beschwerd
besitzen|besitz
besonders|besond
besorgen|besorg
besprechen|besprech
besser|bess
bestätigen|bestat
beste|best
bestehen|besteh
bestellen|bestell
bestimmen|bestimm
besuch|besuch
besuchen|besuch
beteiligen|beteil
betrachten|betracht
betrag|betrag
betreffen|betreff
betreten|betret
betrieb|betrieb
bett|bett
bevor|bevor
bewegen|beweg
